Source,CH1,CH2
Second,Volt,Volt
-0.00856000000,-1.20000,-0.10000
-0.00854000000,-1.20000,-0.10000
-0.00851999938,-1.20000,-0.10000
-0.00849999938,-1.20000,-0.10000
-0.00847999938,-1.60000,-0.10000
-0.00846000000,-1.60000,-0.10000
-0.00844000000,-1.60000,-0.08000
-0.00842000000,-1.20000,-0.10000
-0.00840000000,-1.20000,-0.08000
-0.00837999938,-1.60000,-0.10000
-0.00835999938,-1.20000,-0.08000
-0.00834000000,-1.20000,-0.10000
-0.00832000000,-1.20000,-0.08000
-0.00830000000,-1.60000,-0.10000
-0.00828000000,-1.60000,-0.08000
-0.00825999938,-1.20000,-0.10000
-0.00823999938,-1.20000,-0.08000
-0.00822000000,-1.60000,-0.10000
-0.00820000000,-1.60000,-0.10000
-0.00818000000,-1.20000,-0.10000
-0.00816000000,-1.20000,-0.08000
-0.00813999938,-1.20000,-0.08000
-0.00811999938,-1.20000,-0.10000
-0.00810000000,-1.60000,-0.10000
-0.00808000000,-1.20000,-0.08000
-0.00806000000,-1.20000,-0.10000
-0.00804000000,-1.20000,-0.08000
-0.00801999938,-1.20000,-0.08000
-0.00799999938,-1.20000,-0.10000
-0.00798000000,-1.20000,-0.10000
-0.00796000000,-1.20000,-0.08000
-0.00794000000,-1.20000,-0.10000
-0.00792000000,-1.20000,-0.10000
-0.00789999938,-1.20000,-0.08000
-0.00787999938,-1.20000,-0.10000
-0.00786000000,-1.20000,-0.10000
-0.00784000000,-1.20000,-0.10000
-0.00782000000,-1.20000,-0.08000
-0.00780000000,-1.20000,-0.10000
-0.00777999938,-1.20000,-0.10000
-0.00776000000,-1.60000,-0.10000
-0.00774000000,-1.20000,-0.10000
-0.00771999938,-1.20000,-0.10000
-0.00770000000,-1.20000,-0.10000
-0.00768000000,-1.20000,-0.10000
-0.00765999938,-1.60000,-0.10000
-0.00764000000,-1.60000,-0.10000
-0.00762000000,-1.20000,-0.10000
-0.00759999938,-1.20000,-0.10000
-0.00758000000,-1.20000,-0.10000
-0.00756000000,-1.20000,-0.10000
-0.00753999938,-1.60000,-0.10000
-0.00752000000,-1.20000,-0.10000
-0.00750000000,-1.20000,-0.10000
-0.00747999938,-1.20000,-0.10000
-0.00746000000,-1.20000,-0.10000
-0.00744000000,-1.20000,-0.10000
-0.00742000000,-1.20000,-0.10000
-0.00740000000,-1.20000,-0.10000
-0.00738000000,-1.60000,-0.10000
-0.00736000000,-1.20000,-0.10000
-0.00734000000,-1.20000,-0.10000
-0.00732000000,-1.60000,-0.10000
-0.00730000000,-1.20000,-0.08000
-0.00728000000,-1.20000,-0.10000
-0.00726000000,-1.20000,-0.10000
-0.00724000000,-1.60000,-0.10000
-0.00722000000,-1.60000,-0.10000
-0.00720000000,-1.20000,-0.10000
