Source,CH1,CH2
Second,Volt,Volt
-0.00352000000,-15.60000,-0.86000
-0.00348000000,-15.60000,-0.84000
-0.00344000000,-16.00000,-0.84000
-0.00339999969,-16.40000,-0.84000
-0.00336000000,-18.00000,-0.84000
-0.00332000000,-16.00000,-0.88000
-0.00327999969,-15.20000,-0.80000
-0.00324000000,-15.60000,-0.84000
-0.00320000000,-16.80000,-0.88000
-0.00316000000,-16.80000,-0.88000
-0.00312000000,-16.80000,-0.84000
-0.00308000000,-15.20000,-0.86000
-0.00304000000,-15.60000,-0.86000
-0.00300000000,-16.00000,-0.90000
-0.00296000000,-17.20000,-0.82000
-0.00292000000,-15.60000,-0.90000
-0.00288000000,-16.00000,-0.86000
-0.00284000000,-15.60000,-0.86000
-0.00280000000,-17.20000,-0.82000
-0.00275999969,-16.40000,-0.86000
-0.00272000000,-16.80000,-0.82000
-0.00268000000,-15.60000,-0.86000
-0.00264000000,-16.80000,-0.86000
-0.00260000000,-16.00000,-0.88000
-0.00256000000,-16.80000,-0.86000
-0.00251999984,-16.00000,-0.86000
-0.00248000000,-14.40000,-0.80000
-0.00244000000,-15.60000,-0.86000
-0.00239999984,-16.80000,-0.90000
-0.00236000000,-16.00000,-0.86000
-0.00232000000,-16.40000,-0.82000
-0.00227999984,-16.00000,-0.86000
-0.00224000000,-16.00000,-0.88000
-0.00220000000,-16.00000,-0.86000
-0.00215999984,-15.60000,-0.84000
-0.00211999984,-16.80000,-0.88000
-0.00208000000,-16.80000,-0.84000
-0.00204000000,-15.60000,-0.86000
-0.00199999984,-15.20000,-0.84000
-0.00196000000,-15.20000,-0.92000
-0.00192000000,-17.20000,-0.84000
-0.00188000000,-16.40000,-0.88000
-0.00183999988,-16.80000,-0.82000
-0.00180000000,-15.20000,-0.88000
-0.00176000000,-15.60000,-0.86000
-0.00172000000,-16.00000,-0.84000
-0.00168000000,-16.40000,-0.84000
-0.00163999988,-15.60000,-0.82000
-0.00160000000,-16.80000,-0.84000
-0.00156000000,-16.00000,-0.94000
-0.00151999988,-15.60000,-0.80000
-0.00148000000,-16.00000,-0.90000
-0.00144000000,-16.80000,-0.82000
-0.00140000000,-16.00000,-0.86000
-0.00136000000,-16.40000,-0.84000
-0.00131999988,-16.40000,-0.88000
-0.00128000000,-16.80000,-0.86000
-0.00124000000,-16.80000,-0.86000
-0.00120000000,-15.60000,-0.82000
